registered,registered_times,mobile_platform,user_index,company_id,channel_id,verified,carrier,bank_card,certifications,bid_apply_times,bid_apply,loan,loan_times,reject,reject_times,repayment,repayment_times,overdue,overdue_times,overdue_repayment,overdue_within_3_days_repayment,overdue_within_3_days_repayment_times,overdue_4_to_7_days_repayment,overdue_4_to_7_days_repayment_times,overdue_8_to_30_days_repayment,overdue_8_to_30_days_repayment_times
1,2019-04-29 09:59:37,0,0,200,0,1,1,1,"['0', '1', '3']",2019-04-29 10:07:46,1.0,1.0,2019-04-29 10:33:46,0.0,2019-04-29 10:08:39,1.0,2019-05-04 12:34:15,0.0,2019-05-06 10:33:46,0.0,0.0,2019-05-08 10:33:46,0.0,2019-05-13 10:33:46,0.0,2019-05-28 10:33:46
1,2019-04-29 13:50:08,0,1,200,0,1,1,1,"['0', '1', '3']",2019-04-29 13:55:30,1.0,0.0,2019-04-29 14:08:30,1.0,2019-04-29 13:57:02,0.0,2019-04-29 14:08:38,0.0,2019-05-06 14:08:30,0.0,0.0,2019-05-07 14:08:30,0.0,2019-05-13 14:08:30,0.0,2019-05-23 14:08:30
1,2019-04-29 09:24:51,0,2,200,0,1,1,1,"['0', '1', '3']",2019-04-29 09:26:59,1.0,0.0,2019-04-29 09:42:59,1.0,2019-04-29 09:27:29,0.0,2019-05-02 10:43:17,0.0,2019-05-06 09:42:59,0.0,0.0,2019-05-06 09:42:59,0.0,2019-05-10 09:42:59,0.0,2019-05-21 09:42:59
1,2019-04-29 10:11:32,0,3,200,0,1,1,1,"['0', '1', '3']",2019-04-29 10:15:34,0.0,0.0,2019-04-29 10:53:34,0.0,2019-04-29 10:16:53,0.0,2019-05-05 10:53:46,0.0,2019-05-06 10:53:34,0.0,0.0,2019-05-06 10:53:34,0.0,2019-05-11 10:53:34,0.0,2019-05-22 10:53:34
1,2019-04-29 13:15:40,0,4,200,0,1,1,1,"['0', '1', '3']",2019-04-29 13:21:06,1.0,1.0,2019-04-29 13:21:06,0.0,2019-04-29 13:21:32,0.0,2019-04-30 14:21:34,1.0,2019-05-06 13:21:06,1.0,1.0,2019-05-07 13:21:06,0.0,2019-05-11 13:21:06,1.0,2019-06-01 13:21:06
1,2019-04-29 14:38:40,0,5,200,0,1,1,1,"['0', '1', '3']",2019-04-29 14:47:54,1.0,1.0,2019-04-29 15:16:54,0.0,2019-04-29 14:48:03,0.0,2019-04-29 18:17:11,1.0,2019-05-06 15:16:54,0.0,0.0,2019-05-08 15:16:54,0.0,2019-05-12 15:16:54,0.0,2019-06-01 15:16:54
1,2019-04-29 12:50:28,0,6,200,0,1,1,1,"['0', '1', '3']",2019-04-29 12:54:35,1.0,0.0,2019-04-29 13:42:35,1.0,2019-04-29 12:55:43,0.0,2019-05-02 16:42:49,0.0,2019-05-06 13:42:35,0.0,0.0,2019-05-06 13:42:35,0.0,2019-05-11 13:42:35,0.0,2019-05-21 13:42:35
1,2019-04-29 12:44:11,0,7,200,0,1,1,1,"['0', '1', '3']",2019-04-29 12:52:13,1.0,1.0,2019-04-29 13:47:13,0.0,2019-04-29 12:53:15,1.0,2019-04-29 15:47:38,0.0,2019-05-06 13:47:13,0.0,0.0,2019-05-07 13:47:13,0.0,2019-05-10 13:47:13,0.0,2019-05-16 13:47:13
1,2019-04-29 13:50:44,0,8,200,0,1,1,1,"['0', '1', '3']",2019-04-29 13:59:53,1.0,0.0,2019-04-29 14:39:53,0.0,2019-04-29 13:59:54,0.0,2019-05-04 16:39:59,0.0,2019-05-06 14:39:53,0.0,0.0,2019-05-08 14:39:53,0.0,2019-05-13 14:39:53,0.0,2019-05-27 14:39:53
1,2019-04-29 11:10:38,0,9,200,0,1,1,1,"['0', '1', '3']",2019-04-29 11:11:42,1.0,0.0,2019-04-29 11:32:42,0.0,2019-04-29 11:12:23,0.0,2019-04-30 14:32:59,0.0,2019-05-06 11:32:42,0.0,0.0,2019-05-06 11:32:42,0.0,2019-05-12 11:32:42,0.0,2019-05-14 11:32:42
1,2019-04-29 08:56:54,0,10,200,0,1,1,1,"['0', '1', '3']",2019-04-29 09:03:05,1.0,1.0,2019-04-29 09:59:05,0.0,2019-04-29 09:03:14,1.0,2019-05-04 12:59:25,0.0,2019-05-06 09:59:05,0.0,0.0,2019-05-07 09:59:05,0.0,2019-05-13 09:59:05,0.0,2019-05-28 09:59:05
1,2019-04-29 08:02:08,0,11,200,0,1,1,1,"['0', '1', '3']",2019-04-29 08:05:16,1.0,0.0,2019-04-29 08:13:16,0.0,2019-04-29 08:07:05,0.0,2019-05-03 10:13:37,0.0,2019-05-06 08:13:16,0.0,0.0,2019-05-07 08:13:16,0.0,2019-05-12 08:13:16,0.0,2019-05-22 08:13:16
1,2019-04-29 14:55:18,0,12,200,0,1,1,1,"['0', '1', '3']",2019-04-29 15:01:36,1.0,1.0,2019-04-29 15:42:36,0.0,2019-04-29 15:02:20,0.0,2019-05-02 17:42:54,1.0,2019-05-06 15:42:36,1.0,0.0,2019-05-07 15:42:36,0.0,2019-05-13 15:42:36,1.0,2019-05-19 15:42:36
1,2019-04-29 08:45:40,0,13,200,0,1,1,1,"['0', '1', '3']",2019-04-29 08:49:06,1.0,0.0,2019-04-29 09:24:06,1.0,2019-04-29 08:50:10,0.0,2019-04-30 13:24:32,0.0,2019-05-06 09:24:06,0.0,0.0,2019-05-07 09:24:06,0.0,2019-05-10 09:24:06,0.0,2019-05-28 09:24:06
1,2019-04-29 11:33:58,0,14,200,0,1,1,1,"['0', '1', '3']",2019-04-29 11:35:08,1.0,0.0,2019-04-29 12:10:08,0.0,2019-04-29 11:36:58,0.0,2019-05-05 16:10:21,0.0,2019-05-06 12:10:08,0.0,0.0,2019-05-06 12:10:08,0.0,2019-05-12 12:10:08,0.0,2019-05-24 12:10:08
1,2019-04-29 12:15:21,0,15,200,0,1,1,1,"['0', '1', '3']",2019-04-29 12:24:38,1.0,1.0,2019-04-29 13:08:38,0.0,2019-04-29 12:25:02,0.0,2019-05-01 15:08:49,1.0,2019-05-06 13:08:38,1.0,1.0,2019-05-08 13:08:38,1.0,2019-05-11 13:08:38,0.0,2019-05-20 13:08:38
